contract_id,player_id,player_name,signing_year,signing_age,age,role,position,negotiation_type,years,aav_m,guarantee_m,team,source,source_url,service_years,il_days_last_3y,ped_suspensions,other_suspensions,war,wrc_plus,ops_plus,obp,slg,iso,bb_pct,k_pct,defensive_runs,baserunning_runs,avg_ev,barrel_pct,hard_hit_pct,chase_pct,whiff_pct,era,fip,xfip,innings,avg_velocity,stuff_plus,location_plus,overall_grade
DEMO-10001-2021-0,10001,Demo Hitter 001,2021,22.0,22.0,Hitter,CF,Free Agent,10,24.64,217.34,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,86,0,0,1.66,117.3,117.9,0.34,0.406,0.148,9.8,19.8,5.7,-1.9,87.2,6.5,37.8,27.0,20.1,,,,,,,,50
DEMO-10002-2022-1,10002,Demo Hitter 002,2022,24.0,24.0,Hitter,SS,Extension,11,52.81,569.43,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,105,0,0,4.61,152.0,167.2,0.354,0.543,0.24,13.4,21.9,-6.7,2.4,91.4,11.6,45.0,32.1,23.9,,,,,,,,60
DEMO-10003-2024-2,10003,Demo Hitter 003,2024,25.0,25.0,Hitter,SS,Arbitration,1,14.91,14.91,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,28,0,0,3.19,133.6,131.8,0.348,0.43,0.223,11.5,22.2,3.7,3.3,91.2,11.1,42.6,27.8,24.4,,,,,,,,55
DEMO-10004-2014-3,10004,Demo Hitter 004,2014,23.0,23.0,Hitter,3B,Free Agent,11,44.78,467.95,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,10,0,0,4.54,136.3,142.6,0.367,0.489,0.197,11.5,11.9,-1.6,-2.7,89.9,12.7,49.7,31.5,27.7,,,,,,,,55
DEMO-10005-2020-4,10005,Demo Hitter 005,2020,27.0,27.0,Hitter,DH,Extension,5,56.51,281.37,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,44,0,0,4.85,164.1,156.3,0.37,0.522,0.235,11.2,13.8,-4.8,-1.8,90.2,12.5,46.5,25.8,24.7,,,,,,,,50
DEMO-10005-2025-5,10005,Demo Hitter 005,2025,32.0,32.0,Hitter,DH,Arbitration,1,13.22,13.22,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,84,0,0,3.31,144.9,135.1,0.352,0.424,0.205,8.3,15.2,3.9,0.5,87.7,10.0,47.6,21.7,24.2,,,,,,,,50
DEMO-10006-2010-6,10006,Demo Hitter 006,2010,29.0,29.0,Hitter,2B,Extension,6,17.95,97.37,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,57,0,0,1.23,104.4,115.9,0.321,0.426,0.131,7.8,27.3,-3.0,-0.7,88.2,10.1,47.3,24.2,29.2,,,,,,,,60
DEMO-10007-2017-7,10007,Demo Hitter 007,2017,34.0,34.0,Hitter,DH,Arbitration,1,8.41,8.41,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,54,0,0,2.3,110.1,139.5,0.327,0.489,0.159,8.0,23.2,-6.1,2.0,86.6,9.0,40.9,33.6,24.2,,,,,,,,65
DEMO-10008-2020-8,10008,Demo Hitter 008,2020,30.0,30.0,Hitter,RF,Extension,3,36.73,104.69,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,33,0,0,3.23,131.4,141.4,0.355,0.454,0.2,11.7,21.8,0.9,1.6,91.3,13.6,39.8,26.5,23.4,,,,,,,,65
DEMO-10009-2015-9,10009,Demo Hitter 009,2015,23.0,23.0,Hitter,RF,Free Agent,8,42.95,277.03,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,83,1,0,5.12,164.9,160.1,0.385,0.594,0.236,9.6,19.0,-2.3,2.2,89.9,11.8,40.9,23.5,22.3,,,,,,,,60
DEMO-10009-2016-10,10009,Demo Hitter 009,2016,24.0,24.0,Hitter,RF,Free Agent,6,41.49,215.24,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,0,1,0,4.21,143.6,145.6,0.343,0.485,0.204,11.8,17.1,0.3,-1.3,92.0,11.5,47.3,32.8,23.6,,,,,,,,60
