player_id,player_name,season,age,role,position,war,wrc_plus,ops_plus,obp,slg,iso,hr,bb_pct,k_pct,baserunning_runs,defensive_runs,avg_ev,barrel_pct,hard_hit_pct,launch_angle,bat_speed,chase_pct,whiff_pct,sprint_speed,era,era_plus,fip,xfip,innings,avg_velocity,stuff_plus,location_plus,pitching_plus,hard_hit_pct_allowed,gb_pct,hr9
10001,Demo Hitter 001,2019,20,Hitter,CF,2.31,108.3,123.2,0.326,0.419,0.182,22.0,5.2,24.5,-5.1,9.3,89.7,8.3,45.1,13.1,72.2,29.5,27.7,28.4,,,,,,,,,,,,
10001,Demo Hitter 001,2020,21,Hitter,CF,2.6,123.0,128.7,0.338,0.39,0.232,13.0,5.8,17.6,1.4,9.0,88.7,8.9,41.2,11.5,71.4,25.5,25.5,27.5,,,,,,,,,,,,
10001,Demo Hitter 001,2021,22,Hitter,CF,1.66,117.3,117.9,0.34,0.406,0.148,15.0,9.8,19.8,-1.9,5.7,87.2,6.5,37.8,13.8,72.4,27.0,20.1,26.8,,,,,,,,,,,,
10001,Demo Hitter 001,2022,23,Hitter,CF,3.72,127.6,133.3,0.357,0.478,0.214,27.0,9.0,17.5,2.9,-5.6,91.8,8.6,54.9,6.0,74.3,25.3,23.0,26.9,,,,,,,,,,,,
10001,Demo Hitter 001,2023,24,Hitter,CF,2.94,152.4,130.2,0.325,0.471,0.212,20.0,10.8,21.3,2.1,3.6,89.3,9.3,45.0,14.3,69.2,27.0,22.5,26.7,,,,,,,,,,,,
10002,Demo Hitter 002,2020,22,Hitter,SS,5.59,166.1,159.4,0.39,0.518,0.249,39.0,12.7,16.4,-2.9,-0.6,93.6,13.4,52.6,14.7,72.3,18.6,22.8,26.6,,,,,,,,,,,,
10002,Demo Hitter 002,2021,23,Hitter,SS,3.54,143.5,135.2,0.356,0.453,0.213,25.0,12.2,20.8,-3.5,1.1,89.9,10.5,37.4,17.2,70.7,32.9,21.5,27.0,,,,,,,,,,,,
10002,Demo Hitter 002,2022,24,Hitter,SS,4.61,152.0,167.2,0.354,0.543,0.24,28.0,13.4,21.9,2.4,-6.7,91.4,11.6,45.0,12.5,72.4,32.1,23.9,24.6,,,,,,,,,,,,
10002,Demo Hitter 002,2023,25,Hitter,SS,5.51,161.4,156.1,0.343,0.521,0.234,40.0,12.7,21.0,-0.9,-9.1,92.9,14.6,46.4,10.8,71.4,21.3,18.6,26.9,,,,,,,,,,,,
10002,Demo Hitter 002,2024,26,Hitter,SS,5.8,167.9,170.9,0.358,0.549,0.241,44.0,14.4,18.3,0.3,6.1,90.4,9.8,51.8,21.7,70.1,27.0,18.4,26.6,,,,,,,,,,,,
