player_id,player_name,scout_year,role,overall_grade,hit_grade,power_grade,run_grade,arm_grade,field_grade,fastball_grade,slider_grade,curveball_grade,changeup_grade,control_grade
10001,Demo Hitter 001,2019,Hitter,50,50.0,55.0,30.0,40.0,50.0,,,,,
10002,Demo Hitter 002,2020,Hitter,60,70.0,50.0,60.0,50.0,65.0,,,,,
10003,Demo Hitter 003,2019,Hitter,55,55.0,60.0,65.0,55.0,60.0,,,,,
10004,Demo Hitter 004,2011,Hitter,55,60.0,60.0,50.0,45.0,55.0,,,,,
10005,Demo Hitter 005,2018,Hitter,50,30.0,45.0,55.0,60.0,65.0,,,,,
10006,Demo Hitter 006,2008,Hitter,60,65.0,50.0,60.0,45.0,65.0,,,,,
10007,Demo Hitter 007,2010,Hitter,65,60.0,60.0,40.0,70.0,55.0,,,,,
10008,Demo Hitter 008,2013,Hitter,65,70.0,60.0,60.0,65.0,55.0,,,,,
10009,Demo Hitter 009,2013,Hitter,60,70.0,55.0,65.0,55.0,55.0,,,,,
10010,Demo Hitter 010,2016,Hitter,55,40.0,50.0,55.0,50.0,50.0,,,,,
10011,Demo Hitter 011,2009,Hitter,60,60.0,80.0,65.0,55.0,60.0,,,,,
10012,Demo Hitter 012,2008,Hitter,55,55.0,45.0,50.0,40.0,50.0,,,,,
10013,Demo Hitter 013,2014,Hitter,55,60.0,50.0,60.0,35.0,60.0,,,,,
10014,Demo Hitter 014,2011,Hitter,55,50.0,60.0,50.0,55.0,45.0,,,,,
10015,Demo Hitter 015,2014,Hitter,60,65.0,55.0,50.0,50.0,60.0,,,,,
10016,Demo Hitter 016,2015,Hitter,65,60.0,70.0,55.0,55.0,65.0,,,,,
10017,Demo Hitter 017,2015,Hitter,60,55.0,35.0,80.0,55.0,65.0,,,,,
10018,Demo Hitter 018,2019,Hitter,70,80.0,60.0,80.0,65.0,65.0,,,,,
10019,Demo Hitter 019,2021,Hitter,50,45.0,30.0,50.0,40.0,55.0,,,,,
10020,Demo Hitter 020,2018,Hitter,65,65.0,70.0,60.0,65.0,55.0,,,,,
10021,Demo Hitter 021,2010,Hitter,45,50.0,50.0,55.0,35.0,45.0,,,,,
10022,Demo Hitter 022,2018,Hitter,50,50.0,45.0,50.0,55.0,55.0,,,,,
10023,Demo Hitter 023,2019,Hitter,55,50.0,60.0,50.0,50.0,60.0,,,,,
10024,Demo Hitter 024,2008,Hitter,45,35.0,35.0,40.0,40.0,40.0,,,,,
10025,Demo Hitter 025,2014,Hitter,60,50.0,50.0,60.0,60.0,60.0,,,,,
10026,Demo Hitter 026,2016,Hitter,50,55.0,50.0,50.0,50.0,45.0,,,,,
10027,Demo Hitter 027,2008,Hitter,55,50.0,65.0,55.0,60.0,50.0,,,,,
10028,Demo Hitter 028,2013,Hitter,50,50.0,45.0,50.0,45.0,40.0,,,,,
10029,Demo Hitter 029,2011,Hitter,50,50.0,45.0,45.0,50.0,50.0,,,,,
10030,Demo Hitter 030,2011,Hitter,60,50.0,50.0,75.0,70.0,60.0,,,,,
10031,Demo Hitter 031,2014,Hitter,55,60.0,60.0,45.0,70.0,60.0,,,,,
10032,Demo Hitter 032,2016,Hitter,60,45.0,70.0,60.0,65.0,60.0,,,,,
10033,Demo Hitter 033,2014,Hitter,55,50.0,55.0,50.0,60.0,60.0,,,,,
10034,Demo Hitter 034,2013,Hitter,60,50.0,70.0,50.0,60.0,55.0,,,,,
10035,Demo Hitter 035,2016,Hitter,50,45.0,40.0,50.0,60.0,55.0,,,,,
10036,Demo Hitter 036,2018,Hitter,70,50.0,65.0,60.0,55.0,65.0,,,,,
10037,Demo Hitter 037,2013,Hitter,55,50.0,55.0,60.0,55.0,50.0,,,,,
10038,Demo Hitter 038,2010,Hitter,50,40.0,40.0,55.0,55.0,45.0,,,,,
10039,Demo Hitter 039,2013,Hitter,75,65.0,80.0,60.0,75.0,70.0,,,,,
10040,Demo Hitter 040,2009,Hitter,60,50.0,50.0,60.0,45.0,65.0,,,,,
10041,Demo Hitter 041,2018,Hitter,50,55.0,40.0,35.0,40.0,50.0,,,,,
10042,Demo Hitter 042,2009,Hitter,45,55.0,40.0,55.0,45.0,40.0,,,,,
10043,Demo Hitter 043,2013,Hitter,70,60.0,65.0,70.0,60.0,60.0,,,,,
10044,Demo Hitter 044,2021,Hitter,60,55.0,60.0,55.0,70.0,65.0,,,,,
10045,Demo Hitter 045,2015,Hitter,55,65.0,55.0,35.0,55.0,55.0,,,,,
10046,Demo Hitter 046,2014,Hitter,60,65.0,60.0,55.0,65.0,60.0,,,,,
10047,Demo Hitter 047,2009,Hitter,55,35.0,35.0,60.0,55.0,60.0,,,,,
10048,Demo Hitter 048,2018,Hitter,55,40.0,55.0,50.0,55.0,50.0,,,,,
10049,Demo Hitter 049,2020,Hitter,55,60.0,45.0,70.0,65.0,50.0,,,,,
10050,Demo Hitter 050,2011,Hitter,65,60.0,50.0,60.0,55.0,45.0,,,,,
10051,Demo Hitter 051,2016,Hitter,75,75.0,65.0,70.0,80.0,70.0,,,,,
10052,Demo Hitter 052,2008,Hitter,50,50.0,55.0,60.0,45.0,55.0,,,,,
10053,Demo Hitter 053,2019,Hitter,55,55.0,65.0,55.0,50.0,55.0,,,,,
10054,Demo Hitter 054,2021,Hitter,55,55.0,60.0,60.0,45.0,35.0,,,,,
10055,Demo Hitter 055,2010,Hitter,70,60.0,65.0,65.0,65.0,75.0,,,,,
10056,Demo Hitter 056,2010,Hitter,50,50.0,60.0,65.0,35.0,40.0,,,,,
10057,Demo Hitter 057,2011,Hitter,45,40.0,50.0,55.0,40.0,55.0,,,,,
10058,Demo Hitter 058,2014,Hitter,65,65.0,55.0,50.0,70.0,60.0,,,,,
10059,Demo Hitter 059,2008,Hitter,55,40.0,50.0,60.0,60.0,55.0,,,,,
10060,Demo Hitter 060,2010,Hitter,55,50.0,45.0,50.0,65.0,55.0,,,,,
10061,Demo Hitter 061,2020,Hitter,60,50.0,55.0,70.0,55.0,50.0,,,,,
10062,Demo Hitter 062,2018,Hitter,55,50.0,60.0,40.0,65.0,45.0,,,,,
10063,Demo Hitter 063,2016,Hitter,50,55.0,50.0,45.0,45.0,50.0,,,,,
10064,Demo Hitter 064,2014,Hitter,50,25.0,50.0,35.0,55.0,65.0,,,,,
10065,Demo Hitter 065,2011,Hitter,50,55.0,55.0,75.0,50.0,45.0,,,,,
10066,Demo Hitter 066,2011,Hitter,70,65.0,75.0,55.0,60.0,70.0,,,,,
10067,Demo Hitter 067,2014,Hitter,60,50.0,50.0,50.0,45.0,70.0,,,,,
10068,Demo Hitter 068,2017,Hitter,60,50.0,50.0,80.0,65.0,50.0,,,,,
10069,Demo Hitter 069,2020,Hitter,60,55.0,70.0,55.0,55.0,55.0,,,,,
10070,Demo Hitter 070,2020,Hitter,55,55.0,40.0,50.0,60.0,65.0,,,,,
10071,Demo Hitter 071,2009,Hitter,50,40.0,70.0,45.0,50.0,45.0,,,,,
10072,Demo Hitter 072,2008,Hitter,65,55.0,60.0,70.0,70.0,75.0,,,,,
10073,Demo Hitter 073,2013,Hitter,60,55.0,55.0,70.0,60.0,55.0,,,,,
10074,Demo Hitter 074,2011,Hitter,55,40.0,60.0,45.0,45.0,55.0,,,,,
10075,Demo Hitter 075,2011,Hitter,65,65.0,65.0,45.0,55.0,60.0,,,,,
10076,Demo Hitter 076,2020,Hitter,60,70.0,70.0,60.0,50.0,65.0,,,,,
10077,Demo Hitter 077,2020,Hitter,60,55.0,50.0,70.0,65.0,60.0,,,,,
10078,Demo Hitter 078,2012,Hitter,50,55.0,50.0,40.0,45.0,35.0,,,,,
10079,Demo Hitter 079,2015,Hitter,60,55.0,60.0,55.0,50.0,45.0,,,,,
10080,Demo Hitter 080,2010,Hitter,65,60.0,55.0,75.0,55.0,75.0,,,,,
10081,Demo Hitter 081,2016,Hitter,60,70.0,50.0,55.0,65.0,45.0,,,,,
10082,Demo Hitter 082,2017,Hitter,60,50.0,65.0,50.0,60.0,70.0,,,,,
10083,Demo Hitter 083,2015,Hitter,55,70.0,40.0,50.0,45.0,55.0,,,,,
10084,Demo Hitter 084,2008,Hitter,60,55.0,60.0,50.0,55.0,55.0,,,,,
10085,Demo Hitter 085,2016,Hitter,55,50.0,60.0,50.0,45.0,60.0,,,,,
10086,Demo Hitter 086,2017,Hitter,65,70.0,60.0,65.0,55.0,70.0,,,,,
10087,Demo Hitter 087,2021,Hitter,60,60.0,45.0,55.0,50.0,50.0,,,,,
10088,Demo Hitter 088,2017,Hitter,60,75.0,50.0,55.0,60.0,40.0,,,,,
10089,Demo Hitter 089,2014,Hitter,60,60.0,45.0,50.0,60.0,70.0,,,,,
10090,Demo Hitter 090,2015,Hitter,50,45.0,45.0,35.0,45.0,45.0,,,,,
10091,Demo Hitter 091,2021,Hitter,55,60.0,60.0,35.0,60.0,50.0,,,,,
10092,Demo Hitter 092,2016,Hitter,60,55.0,65.0,70.0,50.0,60.0,,,,,
10093,Demo Hitter 093,2009,Hitter,55,35.0,55.0,55.0,50.0,55.0,,,,,
10094,Demo Hitter 094,2012,Hitter,40,45.0,50.0,25.0,40.0,20.0,,,,,
10095,Demo Hitter 095,2019,Hitter,60,60.0,75.0,55.0,60.0,60.0,,,,,
10096,Demo Hitter 096,2012,Hitter,50,75.0,40.0,50.0,50.0,50.0,,,,,
10097,Demo Hitter 097,2016,Hitter,75,75.0,60.0,80.0,75.0,80.0,,,,,
10098,Demo Hitter 098,2015,Hitter,55,55.0,70.0,55.0,50.0,40.0,,,,,
10099,Demo Hitter 099,2010,Hitter,70,70.0,65.0,70.0,70.0,65.0,,,,,
10100,Demo Hitter 100,2009,Hitter,55,60.0,60.0,60.0,60.0,55.0,,,,,
10101,Demo Hitter 101,2016,Hitter,55,45.0,50.0,60.0,55.0,55.0,,,,,
10102,Demo Hitter 102,2017,Hitter,45,40.0,60.0,40.0,45.0,55.0,,,,,
10103,Demo Hitter 103,2011,Hitter,65,70.0,65.0,55.0,75.0,60.0,,,,,
10104,Demo Hitter 104,2021,Hitter,60,70.0,60.0,70.0,50.0,55.0,,,,,
10105,Demo Hitter 105,2021,Hitter,50,55.0,30.0,30.0,60.0,35.0,,,,,
10106,Demo Hitter 106,2012,Hitter,55,45.0,45.0,55.0,60.0,50.0,,,,,
10107,Demo Hitter 107,2016,Hitter,50,45.0,55.0,50.0,50.0,50.0,,,,,
10108,Demo Hitter 108,2017,Hitter,60,65.0,50.0,60.0,55.0,50.0,,,,,
10109,Demo Hitter 109,2014,Hitter,70,80.0,80.0,65.0,55.0,75.0,,,,,
10110,Demo Hitter 110,2009,Hitter,60,55.0,55.0,65.0,55.0,55.0,,,,,
10111,Demo Hitter 111,2017,Hitter,50,45.0,55.0,60.0,50.0,50.0,,,,,
10112,Demo Hitter 112,2016,Hitter,65,60.0,65.0,65.0,65.0,65.0,,,,,
10113,Demo Hitter 113,2008,Hitter,50,60.0,65.0,60.0,45.0,35.0,,,,,
10114,Demo Hitter 114,2010,Hitter,55,45.0,55.0,50.0,35.0,45.0,,,,,
10115,Demo Hitter 115,2021,Hitter,45,45.0,40.0,40.0,40.0,35.0,,,,,
10116,Demo Hitter 116,2014,Hitter,50,50.0,40.0,55.0,40.0,40.0,,,,,
10117,Demo Hitter 117,2012,Hitter,60,45.0,50.0,65.0,65.0,70.0,,,,,
10118,Demo Hitter 118,2009,Hitter,70,60.0,60.0,65.0,55.0,70.0,,,,,
10119,Demo Hitter 119,2012,Hitter,65,70.0,65.0,70.0,60.0,70.0,,,,,
10120,Demo Hitter 120,2016,Hitter,70,60.0,65.0,70.0,65.0,70.0,,,,,
10121,Demo Hitter 121,2021,Hitter,45,40.0,55.0,40.0,30.0,45.0,,,,,
10122,Demo Hitter 122,2015,Hitter,50,50.0,55.0,60.0,40.0,45.0,,,,,
10123,Demo Hitter 123,2013,Hitter,60,55.0,50.0,55.0,45.0,60.0,,,,,
10124,Demo Hitter 124,2014,Hitter,70,60.0,55.0,75.0,70.0,70.0,,,,,
10125,Demo Hitter 125,2016,Hitter,60,50.0,65.0,60.0,60.0,60.0,,,,,
10126,Demo Hitter 126,2011,Hitter,70,50.0,60.0,60.0,75.0,75.0,,,,,
10127,Demo Hitter 127,2021,Hitter,65,65.0,80.0,60.0,55.0,70.0,,,,,
10128,Demo Hitter 128,2015,Hitter,60,55.0,70.0,65.0,70.0,65.0,,,,,
10129,Demo Hitter 129,2014,Hitter,65,60.0,40.0,75.0,50.0,70.0,,,,,
10130,Demo Hitter 130,2013,Hitter,55,50.0,55.0,55.0,60.0,55.0,,,,,
10131,Demo Hitter 131,2020,Hitter,55,60.0,65.0,40.0,55.0,60.0,,,,,
10132,Demo Hitter 132,2014,Hitter,60,55.0,65.0,50.0,60.0,55.0,,,,,
10133,Demo Hitter 133,2017,Hitter,60,45.0,35.0,60.0,45.0,65.0,,,,,
10134,Demo Hitter 134,2011,Hitter,55,55.0,55.0,60.0,50.0,45.0,,,,,
10135,Demo Hitter 135,2010,Hitter,70,60.0,65.0,80.0,75.0,70.0,,,,,
10136,Demo Hitter 136,2012,Hitter,50,50.0,50.0,50.0,40.0,50.0,,,,,
10137,Demo Hitter 137,2008,Hitter,60,45.0,55.0,55.0,50.0,50.0,,,,,
10138,Demo Hitter 138,2011,Hitter,55,55.0,65.0,45.0,45.0,60.0,,,,,
10139,Demo Hitter 139,2015,Hitter,55,50.0,50.0,55.0,50.0,55.0,,,,,
10140,Demo Hitter 140,2008,Hitter,60,60.0,60.0,50.0,55.0,60.0,,,,,
10141,Demo Hitter 141,2019,Hitter,50,50.0,45.0,40.0,40.0,55.0,,,,,
10142,Demo Hitter 142,2015,Hitter,65,65.0,60.0,60.0,70.0,65.0,,,,,
10143,Demo Hitter 143,2021,Hitter,60,65.0,50.0,75.0,45.0,60.0,,,,,
10144,Demo Hitter 144,2014,Hitter,65,45.0,65.0,60.0,55.0,70.0,,,,,
10145,Demo Hitter 145,2010,Hitter,65,70.0,75.0,70.0,70.0,60.0,,,,,
10146,Demo Hitter 146,2020,Hitter,55,60.0,55.0,55.0,60.0,55.0,,,,,
10147,Demo Hitter 147,2019,Hitter,55,40.0,65.0,65.0,60.0,60.0,,,,,
10148,Demo Hitter 148,2016,Hitter,50,45.0,50.0,50.0,55.0,40.0,,,,,
10149,Demo Hitter 149,2019,Hitter,65,80.0,60.0,55.0,65.0,70.0,,,,,
10150,Demo Hitter 150,2013,Hitter,45,45.0,40.0,35.0,45.0,35.0,,,,,
10151,Demo Hitter 151,2019,Hitter,55,50.0,50.0,40.0,60.0,55.0,,,,,
10152,Demo Hitter 152,2019,Hitter,70,80.0,75.0,75.0,50.0,75.0,,,,,
10153,Demo Hitter 153,2015,Hitter,75,70.0,80.0,55.0,75.0,65.0,,,,,
10154,Demo Hitter 154,2015,Hitter,50,45.0,50.0,30.0,55.0,30.0,,,,,
10155,Demo Hitter 155,2020,Hitter,55,35.0,55.0,40.0,50.0,50.0,,,,,
10156,Demo Hitter 156,2015,Hitter,55,60.0,50.0,65.0,70.0,50.0,,,,,
10157,Demo Hitter 157,2012,Hitter,55,40.0,60.0,60.0,65.0,60.0,,,,,
10158,Demo Hitter 158,2015,Hitter,45,55.0,35.0,30.0,45.0,25.0,,,,,
10159,Demo Hitter 159,2011,Hitter,65,65.0,55.0,65.0,70.0,55.0,,,,,
10160,Demo Hitter 160,2010,Hitter,55,40.0,45.0,50.0,50.0,55.0,,,,,
10161,Demo Hitter 161,2008,Hitter,50,50.0,45.0,50.0,45.0,55.0,,,,,
10162,Demo Hitter 162,2014,Hitter,70,75.0,70.0,75.0,65.0,65.0,,,,,
10163,Demo Hitter 163,2011,Hitter,60,60.0,50.0,40.0,60.0,55.0,,,,,
10164,Demo Hitter 164,2018,Hitter,70,75.0,70.0,75.0,70.0,60.0,,,,,
10165,Demo Hitter 165,2013,Hitter,55,60.0,50.0,45.0,50.0,50.0,,,,,
10166,Demo Hitter 166,2020,Hitter,65,55.0,80.0,65.0,55.0,70.0,,,,,
10167,Demo Hitter 167,2016,Hitter,50,40.0,55.0,40.0,60.0,25.0,,,,,
10168,Demo Hitter 168,2012,Hitter,50,50.0,40.0,50.0,35.0,45.0,,,,,
10169,Demo Hitter 169,2017,Hitter,50,55.0,55.0,50.0,45.0,50.0,,,,,
10170,Demo Hitter 170,2014,Hitter,55,40.0,60.0,60.0,50.0,55.0,,,,,
10171,Demo Pitcher 171,2016,Pitcher,60,,,,,,60.0,55.0,60.0,55.0,55.0
10172,Demo Pitcher 172,2018,Pitcher,55,,,,,,55.0,45.0,55.0,55.0,55.0
10173,Demo Pitcher 173,2020,Pitcher,50,,,,,,40.0,45.0,40.0,45.0,55.0
10174,Demo Pitcher 174,2010,Pitcher,55,,,,,,70.0,40.0,55.0,45.0,60.0
10175,Demo Pitcher 175,2019,Pitcher,65,,,,,,75.0,55.0,60.0,60.0,70.0
10176,Demo Pitcher 176,2018,Pitcher,50,,,,,,35.0,60.0,50.0,45.0,60.0
10177,Demo Pitcher 177,2019,Pitcher,60,,,,,,50.0,40.0,55.0,60.0,60.0
10178,Demo Pitcher 178,2019,Pitcher,60,,,,,,70.0,55.0,50.0,60.0,65.0
10179,Demo Pitcher 179,2008,Pitcher,55,,,,,,60.0,55.0,55.0,45.0,55.0
10180,Demo Pitcher 180,2013,Pitcher,55,,,,,,55.0,50.0,40.0,40.0,45.0
10181,Demo Pitcher 181,2013,Pitcher,55,,,,,,55.0,50.0,45.0,55.0,55.0
10182,Demo Pitcher 182,2019,Pitcher,60,,,,,,45.0,75.0,70.0,55.0,60.0
10183,Demo Pitcher 183,2015,Pitcher,50,,,,,,50.0,65.0,35.0,55.0,55.0
10184,Demo Pitcher 184,2010,Pitcher,50,,,,,,30.0,45.0,45.0,35.0,50.0
10185,Demo Pitcher 185,2009,Pitcher,50,,,,,,20.0,60.0,40.0,45.0,55.0
10186,Demo Pitcher 186,2016,Pitcher,60,,,,,,70.0,60.0,70.0,45.0,60.0
10187,Demo Pitcher 187,2008,Pitcher,65,,,,,,55.0,45.0,60.0,60.0,60.0
10188,Demo Pitcher 188,2014,Pitcher,60,,,,,,45.0,60.0,60.0,45.0,65.0
10189,Demo Pitcher 189,2016,Pitcher,60,,,,,,70.0,65.0,50.0,55.0,80.0
10190,Demo Pitcher 190,2014,Pitcher,65,,,,,,55.0,80.0,50.0,70.0,60.0
10191,Demo Pitcher 191,2019,Pitcher,60,,,,,,60.0,60.0,40.0,50.0,65.0
10192,Demo Pitcher 192,2018,Pitcher,55,,,,,,50.0,45.0,45.0,50.0,55.0
10193,Demo Pitcher 193,2008,Pitcher,70,,,,,,60.0,80.0,80.0,50.0,75.0
10194,Demo Pitcher 194,2020,Pitcher,75,,,,,,70.0,80.0,70.0,80.0,80.0
10195,Demo Pitcher 195,2019,Pitcher,45,,,,,,50.0,45.0,45.0,40.0,20.0
10196,Demo Pitcher 196,2016,Pitcher,65,,,,,,65.0,60.0,60.0,70.0,60.0
10197,Demo Pitcher 197,2012,Pitcher,60,,,,,,55.0,50.0,60.0,65.0,50.0
10198,Demo Pitcher 198,2010,Pitcher,65,,,,,,45.0,45.0,65.0,50.0,55.0
10199,Demo Pitcher 199,2020,Pitcher,55,,,,,,50.0,50.0,45.0,50.0,45.0
10200,Demo Pitcher 200,2018,Pitcher,55,,,,,,50.0,50.0,60.0,60.0,35.0
10201,Demo Pitcher 201,2009,Pitcher,50,,,,,,55.0,40.0,40.0,50.0,50.0
10202,Demo Pitcher 202,2020,Pitcher,50,,,,,,60.0,60.0,65.0,55.0,50.0
10203,Demo Pitcher 203,2018,Pitcher,50,,,,,,45.0,25.0,50.0,55.0,55.0
10204,Demo Pitcher 204,2012,Pitcher,45,,,,,,50.0,45.0,45.0,45.0,45.0
10205,Demo Pitcher 205,2018,Pitcher,55,,,,,,65.0,35.0,60.0,45.0,55.0
10206,Demo Pitcher 206,2011,Pitcher,65,,,,,,60.0,55.0,55.0,55.0,60.0
10207,Demo Pitcher 207,2017,Pitcher,55,,,,,,65.0,45.0,50.0,55.0,60.0
10208,Demo Pitcher 208,2018,Pitcher,55,,,,,,45.0,55.0,50.0,55.0,45.0
10209,Demo Pitcher 209,2008,Pitcher,55,,,,,,50.0,60.0,55.0,55.0,55.0
10210,Demo Pitcher 210,2018,Pitcher,55,,,,,,50.0,55.0,50.0,50.0,50.0
10211,Demo Pitcher 211,2018,Pitcher,55,,,,,,50.0,70.0,45.0,40.0,60.0
10212,Demo Pitcher 212,2013,Pitcher,50,,,,,,65.0,35.0,45.0,50.0,45.0
10213,Demo Pitcher 213,2011,Pitcher,60,,,,,,45.0,70.0,60.0,65.0,45.0
10214,Demo Pitcher 214,2012,Pitcher,55,,,,,,55.0,50.0,55.0,55.0,30.0
10215,Demo Pitcher 215,2013,Pitcher,50,,,,,,45.0,50.0,55.0,50.0,65.0
10216,Demo Pitcher 216,2011,Pitcher,55,,,,,,50.0,50.0,65.0,65.0,60.0
10217,Demo Pitcher 217,2017,Pitcher,55,,,,,,60.0,60.0,45.0,40.0,55.0
10218,Demo Pitcher 218,2017,Pitcher,55,,,,,,60.0,50.0,70.0,30.0,50.0
10219,Demo Pitcher 219,2021,Pitcher,65,,,,,,65.0,70.0,65.0,65.0,65.0
10220,Demo Pitcher 220,2013,Pitcher,50,,,,,,35.0,55.0,55.0,50.0,45.0
10221,Demo Pitcher 221,2020,Pitcher,65,,,,,,60.0,65.0,55.0,55.0,65.0
10222,Demo Pitcher 222,2010,Pitcher,55,,,,,,60.0,40.0,45.0,50.0,45.0
10223,Demo Pitcher 223,2011,Pitcher,65,,,,,,75.0,80.0,65.0,65.0,75.0
10224,Demo Pitcher 224,2017,Pitcher,55,,,,,,65.0,50.0,45.0,55.0,60.0
10225,Demo Pitcher 225,2009,Pitcher,55,,,,,,50.0,50.0,55.0,40.0,45.0
10226,Demo Pitcher 226,2012,Pitcher,60,,,,,,65.0,65.0,55.0,60.0,45.0
10227,Demo Pitcher 227,2019,Pitcher,40,,,,,,40.0,45.0,30.0,35.0,40.0
10228,Demo Pitcher 228,2012,Pitcher,65,,,,,,65.0,60.0,65.0,60.0,65.0
10229,Demo Pitcher 229,2016,Pitcher,65,,,,,,60.0,60.0,50.0,45.0,45.0
10230,Demo Pitcher 230,2012,Pitcher,55,,,,,,55.0,50.0,60.0,50.0,50.0
10231,Demo Pitcher 231,2020,Pitcher,65,,,,,,50.0,70.0,75.0,60.0,70.0
10232,Demo Pitcher 232,2012,Pitcher,55,,,,,,60.0,55.0,60.0,45.0,40.0
10233,Demo Pitcher 233,2020,Pitcher,45,,,,,,40.0,45.0,45.0,30.0,45.0
10234,Demo Pitcher 234,2020,Pitcher,55,,,,,,50.0,35.0,60.0,50.0,60.0
