player_id,player_name,year,games,category,source
10009,Demo Hitter 009,2015,50,PED,DEMO ONLY
10017,Demo Hitter 017,2022,20,Other,DEMO ONLY
10044,Demo Hitter 044,2026,40,Other,DEMO ONLY
10051,Demo Hitter 051,2016,50,Other,DEMO ONLY
10085,Demo Hitter 085,2020,40,PED,DEMO ONLY
10090,Demo Hitter 090,2015,40,PED,DEMO ONLY
10096,Demo Hitter 096,2012,20,PED,DEMO ONLY
10107,Demo Hitter 107,2018,20,PED,DEMO ONLY
10142,Demo Hitter 142,2017,20,PED,DEMO ONLY
10160,Demo Hitter 160,2016,20,Other,DEMO ONLY
10163,Demo Hitter 163,2018,20,Other,DEMO ONLY
10180,Demo Pitcher 180,2014,20,PED,DEMO ONLY
10187,Demo Pitcher 187,2011,50,Other,DEMO ONLY
10194,Demo Pitcher 194,2020,50,PED,DEMO ONLY
10201,Demo Pitcher 201,2009,10,PED,DEMO ONLY
10204,Demo Pitcher 204,2016,20,PED,DEMO ONLY
10239,Demo Pitcher 239,2015,20,Other,DEMO ONLY
10242,Demo Pitcher 242,2025,50,Other,DEMO ONLY
10254,Demo Pitcher 254,2018,20,Other,DEMO ONLY
10258,Demo Pitcher 258,2017,20,Other,DEMO ONLY
10267,Demo Pitcher 267,2011,50,Other,DEMO ONLY
10277,Demo Pitcher 277,2017,20,Other,DEMO ONLY
